file_path,transcription,meaning,speaker_id
audio/s03-gung.m4a,gung,牛,s03
audio/s03-kulavau.m4a,kulavau,老鼠,s03
audio/s03-ceqer.m4a,ceqer,青蛙,s03
audio/s03-ljequ.m4a,ljequ,貓頭鷹,s03
audio/s03-qam.m4a,qam,穿山甲,s03
audio/s03-vavuy.m4a,vavuy,山豬,s03
audio/s03-qemudjalj.m4a,qemudjalj,下雨,s03
audio/s03-qadaw.m4a,qadaw,太陽,s03
audio/s03-qiljas.m4a,qiljas,月亮,s03
audio/s03-kalevelevan.m4a,kalevelevan,天空,s03
audio/s03-vitjuqan.m4a,vitjuqan,星星,s03
audio/s03-qudjalj.m4a,qudjalj,雨,s03
audio/s03-sulja.m4a,sulja,雪,s03
audio/s03-zung.m4a,zung,雷,s03
audio/s03-dalek.m4a,dalek,露水,s03
audio/s03-qerepus.m4a,qerepus,雲,s03
audio/s03-cevulj.m4a,cevulj,煙,s03
audio/s03-ladjap.m4a,ladjap,閃電,s03
audio/s03-quma.m4a,quma,旱田,s03
audio/s03-sapuy.m4a,sapuy,火,s03
audio/s03-kuli.m4a,kuli,冰,s03
audio/s03-luni.m4a,luni,地震,s03
audio/s03-kakakaka.m4a,kakakaka,影子,s03
audio/s03-venali.m4a,venali,颱風,s03
audio/s03-kaljavevuan.m4a,kaljavevuan,春天,s03
audio/s03-ljavek.m4a,ljavek,海邊,s03
audio/s03-quljivangraw.m4a,quljivangraw,彩虹,s03
audio/s03-maledep.m4a,maledep,日落,s03
audio/s03-masulem.m4a,masulem,天黑,s03
audio/s03-meljay.m4a,meljay,雨停,s03
audio/s03-cemdas.m4a,cemdas,日出,s03
